Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
137.3825900554657	31	10.01533	15.9190235	49.19117	-0.7654265	21.0	0.0	0.47692052	0.47692052	0.527844	0.527844	-0.4756974	0.4480761	1.5539265	0.6608254	0.63109004	1008	32256
141.33202743530273	32	14.786265	20.222225	69.013214	-0.7607522	21.0	0.0	0.7041079	0.7041079	0.76047105	0.76047105	-0.42350638	0.52628356	1.384018	0.454005	0.5619082	1008	33264
145.87787652015686	33	16.87381	20.968523	59.234306	-0.7817614	21.0	0.0	0.8035148	0.8035148	0.86803705	0.86803705	-0.46420693	0.5548085	1.4656514	0.48150647	0.6107721	1008	34272
149.85024690628052	34	15.377997	20.297527	79.186066	-0.7684035	21.0	0.0	0.73228556	0.73228556	0.79006135	0.79006135	-0.5354672	0.58721477	1.5936387	0.5246902	0.694831	1008	35280
153.7637801170349	35	21.182613	21.181461	89.17776	-0.8705785	21.0	0.0	1.008696	1.008696	1.0801259	1.0801259	-0.4071783	0.6870768	1.6139226	0.56289524	0.5685706	1008	36288
157.73216819763184	36	19.903177	22.171606	69.25932	-0.94922143	21.0	0.0	0.94777036	0.94777036	1.0245894	1.0245894	-0.28764722	0.43975857	1.6282458	0.45348358	0.4504718	1008	37296
161.6756203174591	37	20.304636	21.377348	79.028595	-0.9353455	21.0	0.0	0.96688735	0.96688735	1.0396153	1.0396153	-0.29580098	0.38850036	1.5965447	0.5241536	0.45545548	1008	38304
165.66196036338806	38	17.79038	22.955597	79.06955	-1.1174988	21.0	0.0	0.84716094	0.84716094	0.9113682	0.9113682	-0.3582819	0.5192457	1.6927705	0.61677814	0.527559	1008	39312
169.56651878356934	39	17.945219	21.681223	69.06929	-0.97241205	21.0	0.0	0.85453427	0.85453427	0.91787064	0.91787064	-0.2474379	0.45979464	1.5416353	0.56554705	0.40160143	1008	40320
173.58676767349243	40	22.720047	22.83467	69.11278	-1.1401294	21.0	0.0	1.081907	1.081907	1.1469903	1.1469903	-0.31951976	0.41612402	1.4747667	0.4676083	0.46699643	1008	41328
177.629953622818	41	28.11348	23.054981	88.76948	-1.0916973	21.0	0.0	1.3387371	1.3387371	1.3956677	1.3956677	-0.36299658	0.46702155	1.610014	0.63971585	0.52399796	1008	42336
182.13390970230103	42	33.927795	26.841198	89.0436	-0.84016734	21.0	0.0	1.6156093	1.6156093	1.6694586	1.6694586	-0.43858108	0.5191024	1.406968	0.41688207	0.57927793	1008	43344
186.3576123714447	43	32.679108	28.008688	89.04721	-0.9829005	21.0	0.0	1.5561479	1.5561479	1.6126244	1.6126244	-0.49649483	0.57047397	1.5565504	0.5170847	0.65214986	1008	44352
190.3439507484436	44	45.740467	21.31007	88.9198	-1.1085036	21.0	0.0	2.1781175	2.1781175	2.2362847	2.2362847	-0.3334809	0.44810802	1.4876502	0.61811656	0.48224586	1008	45360
194.48687267303467	45	47.206234	24.050974	98.93456	-0.8686368	21.0	0.0	2.2479157	2.2479157	2.3056414	2.3056414	-0.43940312	0.4980348	1.5357909	0.578991	0.5929822	1008	46368
198.0840187072754	46	51.345913	26.395342	98.92924	-0.7840192	21.0	0.0	2.4450436	2.4450436	2.496566	2.496566	-0.41205487	0.71098614	1.5089359	0.500173	0.56294847	1008	47376
201.1040289402008	47	56.452984	24.420816	108.53544	-0.81467366	21.0	0.0	2.688237	2.688237	2.7391183	2.7391183	-0.39969292	0.45199317	1.4403623	0.6343781	0.5437292	1008	48384
204.6103892326355	48	54.820576	30.46004	108.53474	-0.85135156	21.0	0.0	2.6105037	2.6105037	2.6587083	2.6587083	-0.42996973	0.5103564	1.8098441	0.7556413	0.61095417	1008	49392
208.1252510547638	49	67.48678	21.871517	98.84468	9.329498	21.0	0.0	3.213656	3.213656	3.2705731	3.2705731	-0.46708235	0.55849046	1.6663028	0.5740091	0.63371265	1008	50400
211.41246151924133	50	67.48713	22.958235	118.822174	19.121235	21.0	0.0	3.2136729	3.2136729	3.264849	3.264849	-0.42671216	0.48705655	1.6322286	0.6916018	0.589935	1008	51408
214.5005009174347	51	74.906044	20.615526	108.82805	28.817429	21.0	0.0	3.5669544	3.5669544	3.6148682	3.6148682	-0.45368993	0.5730341	1.7205112	0.7636218	0.625741	1008	52416
217.5122787952423	52	71.33437	24.18387	128.69815	-0.8666187	21.0	0.0	3.396875	3.396875	3.4526935	3.4526935	-0.5038395	0.7047526	1.5920985	0.43871555	0.66304934	1008	53424
220.4648802280426	53	78.794945	20.48622	118.458664	19.114996	21.0	0.0	3.75214	3.75214	3.806265	3.806265	-0.4573102	0.58134186	1.755919	0.62496805	0.6329021	1008	54432
223.34600925445557	54	83.807045	18.269123	118.48834	48.928993	21.0	0.0	3.990812	3.990812	4.0437937	4.0437937	-0.378335	0.5090408	2.015398	0.6409581	0.5798748	1008	55440
226.42171430587769	55	82.946625	17.437878	118.76552	48.75428	21.0	0.0	3.9498396	3.9498396	4.0076857	4.0076857	-0.45675984	0.51010484	1.9772389	0.64954257	0.65448374	1008	56448
229.4619460105896	56	84.550156	22.858328	118.75956	9.09966	21.0	0.0	4.026198	4.026198	4.0863094	4.0863094	-0.31424278	0.36600024	2.1358182	0.62767893	0.52782464	1008	57456
232.38477277755737	57	88.29822	19.951881	118.60768	9.315374	21.0	0.0	4.204677	4.204677	4.263416	4.263416	-0.379992	0.43746248	2.0193608	0.6417047	0.58192813	1008	58464
235.3158676624298	58	92.00879	15.319703	118.47139	58.772446	21.0	0.0	4.381371	4.381371	4.447354	4.447354	-0.3862515	0.53361934	1.9973347	0.5532335	0.58598495	1008	59472
238.3089382648468	59	84.74708	21.131216	118.67232	38.97272	21.0	0.0	4.0355754	4.0355754	4.0954847	4.0954847	-0.45319754	0.51315415	2.1702054	0.76336837	0.6702181	1008	60480
241.29871654510498	60	88.48838	15.931567	118.62032	28.66225	21.0	0.0	4.2137327	4.2137327	4.2675734	4.2675734	-0.46743983	0.58089143	2.1092513	0.56362146	0.678365	1008	61488
244.24454855918884	61	89.68264	14.642632	118.471886	48.847473	21.0	0.0	4.2706017	4.2706017	4.3223944	4.3223944	-0.39241165	0.49647173	2.0996408	0.48360354	0.60237575	1008	62496
247.18522572517395	62	90.125916	17.00748	118.69558	48.867077	21.0	0.0	4.2917104	4.2917104	4.345686	4.345686	-0.4158659	0.45998025	2.1417851	0.6059109	0.6300444	1008	63504
250.09855937957764	63	93.846855	16.9256	128.37947	39.05537	21.0	0.0	4.4688973	4.4688973	4.524651	4.524651	-0.3586145	0.48366368	1.9532657	0.5870369	0.553941	1008	64512
253.2325668334961	64	95.076355	14.234577	128.32796	68.69995	21.0	0.0	4.5274453	4.5274453	4.579129	4.579129	-0.38302326	0.49481338	2.0081747	0.53034925	0.5838407	1008	65520
256.43915343284607	65	95.05155	15.645256	128.52557	59.140022	21.0	0.0	4.5262647	4.5262647	4.577632	4.577632	-0.41291046	0.5926981	2.2634587	0.9076599	0.63925636	1008	66528
259.66293120384216	66	93.7861	14.199914	118.62542	58.470703	21.0	0.0	4.4660053	4.4660053	4.5159736	4.5159736	-0.3714481	0.46496612	2.1467934	0.6183009	0.5861274	1008	67536
262.7136878967285	67	98.11141	16.776306	137.83745	58.860275	21.0	0.0	4.671972	4.671972	4.726056	4.726056	-0.42911494	0.4983825	1.9669244	0.6064707	0.6258074	1008	68544
265.84104204177856	68	96.06168	15.462246	118.46952	48.86918	21.0	0.0	4.5743666	4.5743666	4.625467	4.625467	-0.3893957	0.45927635	2.1221273	0.5280369	0.60160846	1008	69552
268.8195216655731	69	95.652794	15.6994705	128.35158	68.67484	21.0	0.0	4.554895	4.554895	4.6053467	4.6053467	-0.37834227	0.46711436	2.1400795	0.70361626	0.59235024	1008	70560
271.7802164554596	70	96.22281	14.380713	128.27142	58.700768	21.0	0.0	4.582039	4.582039	4.6308837	4.6308837	-0.47055638	0.5219017	2.0136821	0.6432139	0.6719246	1008	71568
274.76824855804443	71	98.924355	17.531239	138.12704	58.544518	21.0	0.0	4.710684	4.710684	4.7599697	4.7599697	-0.39470893	0.48740536	2.0020657	0.5746781	0.5949155	1008	72576
277.79819774627686	72	99.956215	16.341393	128.4514	58.563828	21.0	0.0	4.75982	4.75982	4.8164935	4.8164935	-0.34843704	0.4185869	2.0259137	0.5564974	0.55102843	1008	73584
280.71355080604553	73	99.50583	13.445039	128.22047	58.78	21.0	0.0	4.7383733	4.7383733	4.7875133	4.7875133	-0.3957624	0.4881711	1.9437417	0.5909317	0.5901366	1008	74592
284.13669443130493	74	97.68673	13.857355	128.41222	68.90844	21.0	0.0	4.651749	4.651749	4.701381	4.701381	-0.42607796	0.46629715	2.0147738	0.6418852	0.62755543	1008	75600
287.3158347606659	75	96.42269	14.886122	118.509964	68.560295	21.0	0.0	4.5915565	4.5915565	4.643107	4.643107	-0.46834555	0.5256793	2.1027298	0.60594857	0.6786185	1008	76608
290.54431438446045	76	98.883644	17.88122	128.23305	58.94003	21.0	0.0	4.708745	4.708745	4.761125	4.761125	-0.41142544	0.48911417	2.0328574	0.553917	0.61471117	1008	77616
293.7885468006134	77	99.33441	14.698272	118.5173	48.951817	21.0	0.0	4.7302103	4.7302103	4.7817836	4.7817836	-0.4099663	0.50705606	1.9830229	0.44569418	0.60826856	1008	78624
296.98712515830994	78	97.04873	14.221173	128.35876	68.55188	21.0	0.0	4.621368	4.621368	4.6736293	4.6736293	-0.50952166	0.5845805	2.089148	0.625016	0.7184365	1008	79632
300.25282096862793	79	97.537056	15.35746	128.39967	58.586056	21.0	0.0	4.6446214	4.6446214	4.6911516	4.6911516	-0.42823115	0.46389896	2.0376325	0.5984183	0.63199437	1008	80640
303.4476385116577	80	96.069336	13.184341	118.27454	68.60751	21.0	0.0	4.5747304	4.5747304	4.6232214	4.6232214	-0.31519163	0.39374614	2.1359894	0.50763273	0.5287906	1008	81648
306.9139504432678	81	97.71635	18.04835	137.70155	48.799435	21.0	0.0	4.6531596	4.6531596	4.705775	4.705775	-0.4122839	0.5227395	2.0840182	0.5829903	0.6206857	1008	82656
310.08022832870483	82	95.22064	16.21535	127.83824	39.09935	21.0	0.0	4.534316	4.534316	4.582887	4.582887	-0.4925579	0.5229651	2.0106864	0.55019397	0.6936265	1008	83664
313.330717086792	83	90.28528	19.070848	118.60463	9.129244	21.0	0.0	4.299299	4.299299	4.3508196	4.3508196	-0.3726905	0.46873313	2.0895	0.5564743	0.5816405	1008	84672
316.57058024406433	84	94.85233	14.827709	128.37823	49.0315	21.0	0.0	4.5167785	4.5167785	4.564794	4.564794	-0.45742583	0.5021971	2.1059558	0.68049294	0.6680214	1008	85680
319.79410886764526	85	88.25962	17.425945	118.65821	19.169191	21.0	0.0	4.2028394	4.2028394	4.249235	4.249235	-0.37552667	0.4393407	2.163336	0.47071123	0.5918603	1008	86688
323.0923881530762	86	91.52423	15.679572	108.57841	48.807297	21.0	0.0	4.358297	4.358297	4.399114	4.399114	-0.40895224	0.44214156	2.0376513	0.46045643	0.6127174	1008	87696
